 1FM6_A 1GWQ_A 1L2I_A 1MZN_C 1PZL_A 1RDT_A 1T5Z_A 1T65_A 1T73_A 1T74_A 1T79_A 1T7F_A 1T7M_A 1T7R_A 1TFC_A 1TFC_B 1XB7_A 1XIU_B 1YUC_B 1ZDT_B 2AO6_A 2B1Z_A 2B1Z_B 2GPO_A 2J7X_A 2J7Y_A 2O4J_A 2Q3Y_A 2Q7K_A 2QR9_B 2QSE_A 2QXM_A 2QZO_A 2ZFX_A 3A2H_A 3BEJ_A 3BEJ_B 3BQD_A 3D24_C 3F7D_A 3FS1_A 3GYT_A 3IPS_A 3IPU_A 3L03_A 3L0E_A 3L3X_A 3L3Z_A 3MNO_A 3OMK_C 3OMQ_B 3Q97_B 3RUU_A 3V4A_A 3VRW_A 3VT5_A 3VT8_A 3W0H_A 3W0I_A 4DK7_A 4DM8_B 4IUI_B 4J24_D 4JYG_B 4JYI_A 4JYI_B 4MG8_A 4MG9_B 4MGD_A 4OAR_A 4OEY_A 4OEZ_A 4OFR_A 4OFU_A 4OHA_A 4OK1_A 4OKT_A 4OKX_A 4ONI_B 4P6W_A 4PPS_A 4PXM_A 4PXM_B 4Q13_B 4QJR_A 4UDA_A 4ZI1_A 4ZN9_A 4ZN9_B 4ZNH_B 4ZNU_A 4ZUB_A
1FM6_A 1.00 0.26 0.30 0.91 0.38 0.91 0.19 0.18 0.19 0.19 0.19 0.18 0.18 0.18 0.32 0.32 0.30 0.82 0.33 0.30 0.19 0.29 0.29 0.32 0.28 0.29 0.17 0.20 0.19 0.29 0.28 0.29 0.29 0.17 0.17 0.21 0.21 0.19 0.29 0.29 0.37 0.17 0.20 0.21 0.29 0.20 0.18 0.18 0.18 0.21 0.29 0.29 0.22 0.18 0.17 0.17 0.18 0.17 0.17 0.21 0.28 0.28 0.29 0.27 0.27 0.27 0.29 0.29 0.29 0.17 0.19 0.19 0.19 0.19 0.19 0.18 0.18 0.18 0.32 0.19 0.29 0.29 0.28 0.28 0.30 0.20 0.29 0.28 0.28 0.29 0.28 0.28
1GWQ_A 0.26 1.00 0.94 0.27 0.22 0.26 0.19 0.19 0.19 0.19 0.19 0.20 0.19 0.19 0.33 0.33 0.29 0.26 0.24 0.23 0.20 0.93 0.93 0.33 0.58 0.58 0.20 0.23 0.20 0.96 0.97 0.94 0.91 0.20 0.20 0.17 0.17 0.25 0.29 0.21 0.22 0.12 0.16 0.17 0.94 0.18 0.19 0.19 0.23 0.18 0.56 0.96 0.17 0.20 0.20 0.20 0.20 0.19 0.20 0.17 0.20 0.88 0.56 0.19 0.20 0.19 0.96 0.93 0.96 0.21 0.20 0.20 0.20 0.20 0.20 0.19 0.19 0.19 0.24 0.24 0.95 0.92 0.93 0.92 0.23 0.23 0.57 0.93 0.92 0.92 0.93 0.95
1L2I_A 0.30 0.94 1.00 0.29 0.23 0.28 0.20 0.20 0.20 0.20 0.20 0.20 0.20 0.20 0.36 0.36 0.32 0.27 0.25 0.24 0.21 0.98 0.97 0.36 0.60 0.60 0.22 0.23 0.21 0.95 0.95 0.97 0.96 0.22 0.21 0.19 0.19 0.24 0.32 0.22 0.22 0.12 0.18 0.18 0.98 0.18 0.20 0.20 0.22 0.18 0.58 0.96 0.19 0.20 0.21 0.22 0.22 0.21 0.21 0.18 0.21 0.93 0.58 0.20 0.21 0.21 0.96 0.97 0.96 0.22 0.21 0.21 0.21 0.21 0.21 0.19 0.20 0.20 0.24 0.23 0.97 0.97 0.95 0.95 0.23 0.24 0.59 0.96 0.96 0.96 0.96 0.98
1MZN_C 0.91 0.27 0.29 1.00 0.38 0.99 0.18 0.18 0.18 0.18 0.18 0.18 0.18 0.18 0.31 0.31 0.32 0.83 0.33 0.27 0.19 0.28 0.28 0.31 0.28 0.28 0.15 0.17 0.19 0.27 0.28 0.29 0.29 0.15 0.15 0.20 0.21 0.17 0.31 0.27 0.37 0.17 0.20 0.19 0.28 0.20 0.18 0.18 0.17 0.20 0.28 0.28 0.21 0.18 0.16 0.16 0.16 0.15 0.15 0.21 0.28 0.29 0.29 0.28 0.28 0.28 0.28 0.29 0.28 0.16 0.19 0.19 0.19 0.19 0.19 0.18 0.19 0.18 0.33 0.18 0.28 0.28 0.29 0.29 0.27 0.19 0.27 0.27 0.27 0.29 0.27 0.28
1PZL_A 0.38 0.22 0.23 0.38 1.00 0.38 0.18 0.18 0.18 0.18 0.18 0.18 0.18 0.18 0.28 0.28 0.26 0.38 0.26 0.25 0.19 0.23 0.23 0.28 0.24 0.25 0.17 0.16 0.19 0.22 0.23 0.23 0.23 0.18 0.18 0.19 0.19 0.18 0.27 0.25 0.97 0.14 0.24 0.22 0.23 0.22 0.18 0.18 0.18 0.20 0.23 0.23 0.19 0.19 0.18 0.17 0.18 0.17 0.17 0.23 0.20 0.22 0.23 0.20 0.19 0.19 0.23 0.23 0.22 0.20 0.19 0.19 0.19 0.19 0.19 0.18 0.19 0.19 0.26 0.19 0.23 0.23 0.23 0.23 0.25 0.17 0.23 0.22 0.23 0.24 0.21 0.23
1RDT_A 0.91 0.26 0.28 0.99 0.38 1.00 0.18 0.18 0.18 0.18 0.18 0.18 0.18 0.18 0.31 0.31 0.32 0.83 0.33 0.28 0.19 0.28 0.28 0.31 0.28 0.28 0.15 0.17 0.19 0.27 0.28 0.28 0.29 0.15 0.15 0.21 0.21 0.17 0.30 0.28 0.37 0.17 0.20 0.19 0.28 0.20 0.18 0.18 0.17 0.20 0.29 0.28 0.21 0.18 0.16 0.16 0.16 0.15 0.15 0.21 0.28 0.29 0.29 0.28 0.28 0.28 0.28 0.28 0.28 0.16 0.19 0.19 0.19 0.19 0.19 0.18 0.19 0.18 0.33 0.18 0.27 0.28 0.28 0.28 0.27 0.19 0.27 0.27 0.27 0.29 0.27 0.27
1T5Z_A 0.19 0.19 0.20 0.18 0.18 0.18 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.20 0.19 0.20 0.17 0.17 0.17 0.97 0.19 0.19 0.20 0.23 0.22 0.14 0.59 0.96 0.20 0.19 0.20 0.19 0.14 0.14 0.16 0.16 0.49 0.20 0.19 0.18 0.12 0.19 0.20 0.20 0.18 1.00 0.99 0.48 0.17 0.22 0.20 0.17 0.97 0.14 0.14 0.14 0.14 0.14 0.16 0.14 0.19 0.22 0.14 0.14 0.14 0.20 0.19 0.20 0.52 0.96 0.96 0.97 0.96 0.96 0.99 0.98 0.95 0.17 0.50 0.20 0.20 0.18 0.18 0.17 0.51 0.22 0.20 0.20 0.19 0.19 0.20
1T65_A 0.18 0.19 0.20 0.18 0.18 0.18 1.00 1.00 1.00 0.99 1.00 1.00 0.99 1.00 0.20 0.19 0.20 0.17 0.17 0.17 0.96 0.19 0.20 0.20 0.23 0.22 0.14 0.59 0.96 0.20 0.20 0.20 0.19 0.14 0.14 0.16 0.16 0.49 0.20 0.18 0.19 0.12 0.19 0.20 0.19 0.18 0.99 0.98 0.48 0.17 0.22 0.20 0.17 0.97 0.14 0.14 0.14 0.14 0.14 0.16 0.14 0.19 0.22 0.14 0.14 0.14 0.20 0.19 0.20 0.51 0.96 0.96 0.96 0.96 0.96 0.98 0.98 0.95 0.17 0.50 0.20 0.20 0.18 0.18 0.17 0.51 0.22 0.20 0.20 0.19 0.19 0.20
1T73_A 0.19 0.19 0.20 0.18 0.18 0.18 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.20 0.19 0.20 0.17 0.17 0.17 0.97 0.19 0.19 0.20 0.23 0.22 0.14 0.59 0.96 0.20 0.19 0.20 0.19 0.14 0.14 0.16 0.16 0.49 0.20 0.19 0.19 0.12 0.19 0.20 0.20 0.18 1.00 0.99 0.48 0.17 0.22 0.21 0.17 0.97 0.14 0.14 0.14 0.14 0.14 0.16 0.14 0.19 0.22 0.14 0.14 0.14 0.20 0.19 0.21 0.52 0.96 0.96 0.97 0.96 0.96 0.99 0.98 0.95 0.17 0.50 0.20 0.20 0.18 0.18 0.17 0.51 0.22 0.20 0.20 0.19 0.20 0.20
1T74_A 0.19 0.19 0.20 0.18 0.18 0.18 1.00 0.99 1.00 1.00 1.00 1.00 1.00 1.00 0.20 0.19 0.20 0.17 0.18 0.17 0.97 0.19 0.19 0.20 0.23 0.22 0.14 0.59 0.96 0.20 0.19 0.20 0.19 0.14 0.14 0.16 0.16 0.49 0.20 0.18 0.19 0.12 0.18 0.19 0.20 0.17 1.00 0.99 0.48 0.17 0.22 0.20 0.17 0.98 0.14 0.14 0.14 0.14 0.14 0.16 0.14 0.19 0.22 0.14 0.14 0.14 0.20 0.19 0.20 0.52 0.96 0.97 0.97 0.96 0.96 0.99 0.99 0.96 0.18 0.50 0.20 0.20 0.18 0.19 0.17 0.51 0.22 0.20 0.20 0.19 0.19 0.20
1T79_A 0.19 0.19 0.20 0.18 0.18 0.18 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.20 0.19 0.20 0.17 0.17 0.17 0.97 0.19 0.19 0.20 0.23 0.22 0.14 0.59 0.96 0.20 0.19 0.20 0.19 0.14 0.14 0.16 0.16 0.49 0.20 0.18 0.19 0.11 0.19 0.20 0.20 0.18 1.00 0.99 0.48 0.17 0.22 0.20 0.17 0.97 0.14 0.14 0.14 0.14 0.14 0.16 0.14 0.19 0.22 0.14 0.14 0.14 0.20 0.19 0.20 0.52 0.96 0.96 0.97 0.96 0.96 0.99 0.98 0.95 0.17 0.50 0.20 0.20 0.18 0.18 0.17 0.51 0.22 0.20 0.20 0.19 0.19 0.20
